Invoice,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
600001,SKU-1001,Smart Shelf Sensor,4,01-01-2024 09:00,28.00,11001,India
600002,SKU-1002,POS Receipt Roll,12,02-01-2024 11:15,4.50,11002,India
600003,SKU-1003,Store Display Lamp,2,03-01-2024 14:20,52.00,11003,United Arab Emirates
600004,SKU-1004,Barcode Scanner Stand,3,04-01-2024 10:40,31.00,11004,Singapore
600005,SKU-1005,Cash Drawer Insert,5,05-01-2024 16:10,18.00,11005,India
600006,SKU-1006,Checkout Counter Mat,7,06-01-2024 12:05,9.00,11001,India
600007,SKU-1007,Promo Signage Kit,6,07-01-2024 15:30,14.00,11002,Malaysia
600008,SKU-1008,Inventory Label Pack,10,08-01-2024 09:50,6.00,11003,United Arab Emirates
600009,SKU-1009,Portable Card Reader,2,09-01-2024 13:25,65.00,11004,Singapore
600010,SKU-1010,LED Price Tag,8,10-01-2024 17:45,12.00,11005,India
600011,SKU-1011,Queue Barrier Tape,9,11-01-2024 10:10,7.00,11001,India
600012,SKU-1012,Storefront Decal,3,12-01-2024 11:55,23.00,11002,Malaysia
600013,SKU-1013,Backroom Storage Bin,6,13-01-2024 14:05,15.00,11003,United Arab Emirates
600014,SKU-1014,Customer Counter Bell,5,14-01-2024 16:35,8.00,11004,Singapore
600015,SKU-1015,Promo Lightbox,2,15-01-2024 09:40,72.00,11005,India
600016,SKU-1016,Floor Navigation Sticker,14,16-01-2024 12:25,3.50,11001,India
600017,SKU-1017,Receipt Printer Cover,4,17-01-2024 15:10,19.00,11002,Malaysia
600018,SKU-1018,Basket Stacker,5,18-01-2024 13:15,17.00,11003,United Arab Emirates
600019,SKU-1019,Checkout Sign Holder,11,19-01-2024 10:50,5.00,11004,Singapore
600020,SKU-1020,Digital Shelf Tag,3,20-01-2024 18:20,46.00,11005,India
600021,SKU-1021,Smart Shelf Sensor,5,21-01-2024 09:15,28.00,11001,India
600022,SKU-1022,POS Receipt Roll,16,22-01-2024 11:45,4.50,11002,India
600023,SKU-1023,Store Display Lamp,1,23-01-2024 14:30,52.00,11003,United Arab Emirates
600024,SKU-1024,Barcode Scanner Stand,4,24-01-2024 10:20,31.00,11004,Singapore
600025,SKU-1025,Cash Drawer Insert,6,25-01-2024 16:05,18.00,11005,India
600026,SKU-1026,Checkout Counter Mat,8,26-01-2024 12:10,9.00,11001,India
600027,SKU-1027,Promo Signage Kit,7,27-01-2024 15:00,14.00,11002,Malaysia
600028,SKU-1028,Inventory Label Pack,9,28-01-2024 09:35,6.00,11003,United Arab Emirates
600029,SKU-1029,Portable Card Reader,3,29-01-2024 13:05,65.00,11004,Singapore
600030,SKU-1030,LED Price Tag,10,30-01-2024 17:20,12.00,11005,India
600031,SKU-1031,Queue Barrier Tape,8,31-01-2024 10:00,7.00,11001,India
600032,SKU-1032,Storefront Decal,4,01-02-2024 11:30,23.00,11002,Malaysia
600033,SKU-1033,Backroom Storage Bin,6,02-02-2024 14:40,15.00,11003,United Arab Emirates
600034,SKU-1034,Customer Counter Bell,7,03-02-2024 16:25,8.00,11004,Singapore
600035,SKU-1035,Promo Lightbox,3,04-02-2024 09:20,72.00,11005,India
600036,SKU-1036,Floor Navigation Sticker,20,05-02-2024 12:15,3.50,11001,India
600037,SKU-1037,Receipt Printer Cover,5,06-02-2024 15:35,19.00,11002,Malaysia
600038,SKU-1038,Basket Stacker,4,07-02-2024 13:00,17.00,11003,United Arab Emirates
600039,SKU-1039,Checkout Sign Holder,15,08-02-2024 10:45,5.00,11004,Singapore
600040,SKU-1040,Digital Shelf Tag,4,09-02-2024 18:05,46.00,11005,India
600041,SKU-1041,Smart Shelf Sensor,12,10-02-2024 09:10,28.00,11001,India
600042,SKU-1042,POS Receipt Roll,30,11-02-2024 11:20,4.50,11002,India
600043,SKU-1043,Store Display Lamp,5,12-02-2024 14:55,52.00,11003,United Arab Emirates
600044,SKU-1044,Barcode Scanner Stand,2,13-02-2024 10:25,31.00,11004,Singapore
600045,SKU-1045,Cash Drawer Insert,1,14-02-2024 16:50,18.00,11005,India
600046,SKU-1046,Checkout Counter Mat,6,15-02-2024 12:35,9.00,11001,India
600047,SKU-1047,Promo Signage Kit,18,16-02-2024 15:25,14.00,11002,Malaysia
600048,SKU-1048,Inventory Label Pack,3,17-02-2024 09:55,6.00,11003,United Arab Emirates
600049,SKU-1049,Portable Card Reader,1,18-02-2024 13:40,65.00,11004,Singapore
600050,SKU-1050,LED Price Tag,14,19-02-2024 17:10,12.00,11005,India
600051,SKU-1051,Queue Barrier Tape,2,20-02-2024 10:05,7.00,11001,India
600052,SKU-1052,Storefront Decal,9,21-02-2024 11:45,23.00,11002,Malaysia
600053,SKU-1053,Backroom Storage Bin,8,22-02-2024 14:15,15.00,11003,United Arab Emirates
600054,SKU-1054,Customer Counter Bell,16,23-02-2024 16:30,8.00,11004,Singapore
600055,SKU-1055,Promo Lightbox,4,24-02-2024 09:25,72.00,11005,India
